,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
225,20591,28307,19515,21359
226,20591,28307,19515,21359
227,20591,28307,19515,21359
228,20591,28177,19515,21359
229,20591,28177,19515,21359
230,20591,28177,19515,21359
231,20591,28177,19515,21359
232,20591,28177,19515,21359
233,20591,28177,19515,21359
234,20591,28177,19515,21359
235,20591,28177,19515,21359
236,20591,28177,19515,21359
237,20591,28177,19515,21359
238,20591,28177,19515,21359
239,20591,28177,19515,21359
240,20591,28177,19515,21359
241,20591,27968,19515,21359
242,20591,27968,19515,21359
243,20591,27884,19515,21359
244,20591,27884,19515,21359
245,20591,27884,19515,21359
246,20591,27884,19515,21359
247,20591,27817,19515,21359
248,20591,27817,19515,21359
249,20591,27817,19515,21359
250,20591,27817,19515,21359
251,20591,27745,19515,21359
252,20591,27745,19515,21359
253,20591,27745,19515,21359
254,20591,27745,19515,21359
255,20591,27745,19515,21359
256,20591,27585,19515,21359
257,20591,27585,19515,21359
258,20591,27585,19515,21359
259,20591,27585,19515,21359
260,20591,27585,19515,21359
261,20591,27585,19515,21359
262,20591,27585,19515,21359
263,20591,27580,19515,21359
264,20591,27580,19515,21359
265,20591,27580,19515,21359
266,20591,27464,19515,21359
267,20591,27464,19515,21359
268,20591,26858,19515,21359
269,20591,26858,19515,21359
270,20591,26858,19515,21359
271,20591,26858,19515,21359
272,20591,26858,19515,21359
273,20591,26858,19515,21359
274,20591,26750,19515,21359
275,20591,26750,19515,21359
276,20591,26750,19515,21359
277,20591,26750,19515,21359
278,20591,26750,19515,21359
279,20591,26750,19515,21359
280,20591,26750,19515,21359
281,20591,26750,19515,21359
282,20591,26750,19515,21359
283,20591,26677,19515,21359
284,20591,26558,19515,21359
285,20591,26558,19515,21359
286,20591,26558,19515,21359
287,20591,26558,19515,21359
288,20591,26442,19515,21359
289,20591,26442,19515,21359
290,20591,26417,19515,21359
291,20591,26417,19515,21359
292,20591,26417,19515,21359
293,20591,26417,19515,21359
294,20591,26194,19515,21359
295,20591,26194,19515,21359
296,20591,26194,19515,21359
297,20591,26194,19515,21359
298,20591,26194,19515,21359
299,20591,26194,19515,21359
300,20591,26194,19515,21359
301,20591,26194,19515,21359
302,20591,26194,19515,21359
303,20591,26194,19515,21359
304,20591,26194,19515,21359
305,20591,26084,19515,21359
306,20591,25956,19515,21359
307,20591,25956,19515,21359
308,20591,25956,19515,21359
309,20591,25956,19515,21359
310,20591,25956,19515,21359
311,20591,25956,19515,21359
312,20591,25912,19515,21359
313,20591,25912,19515,21359
314,20591,25912,19515,21359
315,20591,25912,19515,21359
316,20591,25912,19515,21359
317,20591,25912,19515,21359
318,20591,25874,19515,21359
319,20591,25874,19515,21359
320,20591,25874,19515,21359
321,20591,25874,19515,21359
322,20591,25874,19515,21359
323,20591,25874,19515,21359
324,20591,25791,19515,21359
325,20591,25791,19515,21359
326,20591,25787,19515,21359
327,20591,25578,19515,21359
328,20591,25578,19515,21359
329,20591,25578,19515,21359
330,20591,25578,19515,21359
331,20591,25578,19515,21359
332,20591,25578,19515,21359
333,20591,25578,19515,21359
334,20591,25578,19515,21359
335,20591,25554,19515,21359
336,20591,25530,19515,21359
337,20591,25530,19515,21359
338,20591,25530,19515,21359
339,20591,25530,19515,21359
340,20591,25530,19515,21359
341,20591,25530,19515,21359
342,20591,25530,19515,21359
343,20591,25530,19515,21359
344,20591,25530,19515,21359
345,20591,25530,19515,21359
346,20591,25530,19515,21359
347,20591,25530,19515,21359
348,20591,25530,19515,21359
349,20591,25530,19515,21359
350,20591,25530,19515,21359
351,20591,25530,19515,21359
352,20591,25530,19515,21359
353,20591,25530,19515,21359
354,20591,25530,19515,21359
355,20591,25530,19515,21359
356,20591,25530,19515,21359
357,20591,25530,19515,21359
358,20591,25530,19515,21359
359,20591,25530,19515,21359
360,20591,25530,19515,21359
361,20591,25530,19515,21359
362,20591,25530,19515,21359
363,20591,25530,19515,21359
364,20591,25530,19515,21359
365,20591,25530,19515,21359
