,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
197,15493,37449,15369,18443
198,15493,37449,15367,18443
199,15479,37449,15367,18420
200,15466,37449,15361,18417
201,15466,37449,15355,18417
202,15445,37449,15349,18407
203,15401,37449,15345,18407
204,15350,37449,15343,18404
205,15329,37449,15341,18402
206,15321,37449,15337,18334
207,15254,37449,15333,18334
208,15254,37449,15333,18330
209,15232,37449,15333,18324
210,15212,37449,15330,18305
211,15204,37449,15330,18301
212,15156,37449,15330,18287
213,15149,37449,15322,18275
214,15135,37449,15322,18242
215,15135,37449,15319,18238
216,15073,37449,15281,18219
217,15073,37449,15267,18199
218,15071,37449,15267,18199
219,15064,37449,15267,18162
220,15055,37449,15231,18162
221,15055,37449,15205,18153
222,15043,37449,15205,18153
223,15000,37449,15205,18120
224,14984,37449,15160,18120
225,14980,37449,15160,18119
226,14970,37449,15160,18089
227,14962,37449,15160,18088
228,14943,37449,15148,18088
229,14927,37449,15148,18088
230,14924,37449,15148,18069
231,14911,37449,15148,18069
232,14910,37449,15128,18069
233,14877,37449,15128,18069
234,14877,37449,15123,18069
235,14872,37449,15117,18069
236,14849,37449,15117,18027
237,14848,37449,15115,18027
238,14844,37449,15115,18010
239,14832,37449,15115,18000
240,14832,37449,15059,18000
241,14831,37449,15053,17973
242,14806,37449,15053,17963
243,14784,37449,15051,17963
244,14762,37449,15051,17952
245,14760,37449,15051,17952
246,14723,37449,15048,17952
247,14697,37449,15048,17952
248,14697,37449,15025,17952
249,14677,37449,15025,17952
250,14677,37449,15022,17946
251,14659,37449,15020,17946
252,14650,37449,15020,17945
253,14650,37449,15020,17945
254,14644,37449,15020,17945
255,14640,37449,15019,17940
256,14640,37449,15019,17939
257,14606,37449,15019,17939
258,14606,37449,15019,17939
259,14606,37449,15019,17933
260,14606,37449,15018,17933
261,14606,37449,15018,17933
262,14588,37449,15017,17929
263,14587,37449,15017,17929
264,14559,37449,15017,17920
265,14559,37449,15017,17920
266,14545,37449,15017,17916
267,14545,37449,15017,17880
268,14545,37449,15017,17880
269,14514,37449,15017,17880
270,14514,37449,15017,17863
271,14465,37449,15017,17863
272,14462,37449,15017,17825
273,14457,37449,15017,17825
274,14408,37449,15017,17825
275,14403,37449,15017,17816
276,14387,37449,15017,17813
277,14354,37449,15017,17805
278,14351,37449,15017,17796
279,14347,37449,15017,17796
280,14330,37449,15017,17776
281,14313,37449,15017,17767
282,14308,37449,15017,17626
283,14303,37449,15017,17518
284,14291,37449,15017,17492
285,14291,37449,15017,17488
286,14213,37449,15017,17488
287,14208,37449,15017,17488
288,14199,37449,15017,17486
289,14191,37449,15017,17427
290,14149,37449,15017,17427
291,14135,37449,15017,17423
292,14132,37449,15017,17276
293,14123,37449,15017,17276
294,13963,37449,15017,17276
295,13947,37449,15017,17276
296,13935,37449,15017,17241
297,13932,37449,15017,17162
298,13921,37449,15017,17162
299,13918,37449,15017,17162
300,13906,37449,15017,17162
301,13905,37449,15017,17151
302,13844,37449,15017,17151
303,13844,37371,15017,17151
304,13844,37371,15017,17151
305,13844,37371,15017,17151
306,13833,37371,15017,17151
307,13821,37371,15017,17151
308,13821,36940,15017,17143
309,13821,36940,15017,17143
310,13811,36940,15017,17107
311,13811,36940,15017,17107
312,13784,36940,15017,17102
313,13778,36940,15017,17102
314,13771,36863,15017,17066
315,13771,36863,15017,16954
316,13762,36863,15017,16933
317,13760,36863,15017,16933
318,13760,36863,15017,16904
319,13758,36863,15017,16895
320,13750,36670,15017,16841
321,13746,36670,15017,16832
322,13746,36670,15017,16798
323,13741,36566,15017,16786
324,13737,36566,15017,16777
325,13728,36566,15017,16774
326,13727,36566,15017,16743
327,13727,36566,15017,16719
328,13710,36566,15017,16719
329,13709,36566,15017,16700
330,13709,36566,15017,16700
331,13698,36566,15017,16686
332,13698,36566,15017,16686
333,13696,36566,15017,16686
334,13696,36566,15017,16686
335,13695,36566,15017,16686
336,13694,36566,15017,16666
337,13694,36566,15017,16666
338,13692,36566,15017,16666
339,13692,36566,15017,16664
340,13692,36566,15017,16664
341,13692,36566,15017,16664
342,13691,36566,15017,16664
343,13687,36566,15017,16661
344,13683,36566,15017,16661
345,13683,36566,15017,16661
346,13682,36566,15017,16621
347,13681,36566,15017,16621
348,13662,36566,15017,16621
349,13662,36566,15017,16607
350,13662,36566,15017,16594
351,13658,36566,15017,16587
352,13658,36566,15017,16573
353,13658,36566,15017,16573
354,13650,36566,15017,16573
355,13650,36566,15017,16573
356,13650,36566,15017,16573
357,13649,36566,15017,16573
358,13649,36566,15017,16573
359,13649,36566,15017,16573
360,13649,36566,15017,16572
361,13649,36566,15017,16572
362,13640,36566,15017,16572
363,13640,36566,15017,16572
364,13637,36566,15017,16572
365,13637,36566,15017,16572
366,13628,36566,15017,16561
367,13628,36566,15017,16561
368,13628,36566,15017,16561
369,13628,36566,15017,16561
370,13621,36566,15017,16560
371,13621,36566,15017,16560
372,13612,36566,15017,16560
373,13612,36472,15017,16549
374,13612,36472,15017,16484
375,13612,36472,15017,16484
376,13612,36472,15017,16484
377,13612,36472,15017,16484
378,13612,36472,15017,16484
379,13612,36472,15017,16484
380,13612,36472,15017,16484
381,13577,36472,15017,16456
382,13577,36472,15017,16426
383,13577,36472,15017,16399
384,13556,36472,15017,16357
385,13556,36472,15017,16357
386,13556,36472,15017,16357
387,13556,36472,15017,16291
388,13537,36472,15017,16291
389,13537,36438,15017,16291
390,13537,36438,15017,16291
391,13529,36438,15017,16291
392,13529,36438,15017,16291
393,13529,36438,15017,16291
394,13520,36438,15017,16291
395,13520,36438,15017,16280
396,13517,36438,15017,16280
397,13517,36438,15017,16263
398,13513,36438,15017,16263
399,13510,36438,15017,16263
400,13510,36438,15017,16263
401,13510,36438,15017,16263
402,13510,36438,15017,16263
403,13510,36438,15017,16263
404,13510,36438,15017,16263
405,13510,36438,15017,16263
406,13510,36438,15017,16263
407,13510,36438,15017,16263
408,13510,36438,15017,16263
409,13510,36438,15017,16263
410,13510,36438,15017,16263
411,13510,36438,15017,16263
412,13510,36404,15017,16262
413,13510,36404,15017,16262
414,13510,36404,15017,16262
415,13510,36404,15017,16258
416,13510,36404,15017,16258
417,13510,36404,15017,16258
418,13510,36404,15017,16258
419,13510,36404,15017,16258
420,13510,36404,15017,16258
421,13510,36404,15017,16258
422,13510,36404,15017,16258
423,13510,36404,15017,16258
424,13510,36404,15017,16258
425,13510,36404,15017,16258
426,13510,36404,15017,16258
427,13510,36404,15017,16258
428,13510,36404,15017,16258
429,13510,36404,15017,16258
430,13510,36404,15017,16258
431,13510,36404,15017,16258
432,13510,36404,15017,16258
433,13510,36404,15017,16258
434,13510,36404,15017,16253
435,13510,36404,15017,16253
436,13510,36404,15017,16253
437,13510,36404,15017,16249
438,13510,36404,15017,16249
439,13510,36404,15017,16249
440,13510,36404,15017,16249
441,13510,36404,15017,16249
442,13510,36404,15017,16249
443,13510,36285,15017,16249
444,13510,36285,15017,16249
445,13510,36285,15017,16249
446,13510,36285,15017,16249
447,13510,35883,15017,16249
448,13510,35883,15017,16249
449,13510,35883,15017,16249
450,13510,35883,15017,16249
451,13510,35741,15017,16249
452,13510,35741,15017,16249
453,13510,35741,15017,16249
454,13510,35741,15017,16249
455,13510,35741,15017,16249
456,13510,35741,15017,16238
457,13510,35741,15017,16238
458,13510,35741,15017,16233
459,13510,35741,15017,16233
460,13510,35741,15017,16233
461,13510,35741,15017,16233
462,13510,35741,15017,16233
463,13510,35741,15017,16233
464,13510,35741,15017,16233
465,13510,35741,15017,16233
466,13510,35741,15017,16233
467,13510,35652,15017,16233
468,13510,35652,15017,16233
469,13510,35652,15017,16233
470,13510,35652,15017,16233
471,13510,35652,15017,16233
472,13510,35652,15017,16233
