,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
0,42353,42353,42353,42353
1,40627,42205,40115,41364
2,38431,42205,38810,41245
3,37722,42036,36388,39558
4,36766,41719,36074,39030
5,34860,41719,35527,38093
6,34618,41719,34843,37702
7,34153,41719,34358,36944
8,33676,41647,33501,35771
9,32646,41647,33067,35284
10,32061,41647,32225,34741
11,31938,41647,31703,33489
12,31651,41197,31373,33489
13,30960,40660,30728,33134
14,30258,40660,30628,32836
15,29893,40660,29883,32273
16,29210,40660,29835,32048
17,29039,40660,29593,31276
18,28781,40660,29521,29908
19,28655,40660,28688,29908
20,28054,40660,28376,29069
21,28054,40660,28273,27955
22,28054,40660,28043,27955
23,27819,40660,28011,27785
24,27282,40660,27085,27504
25,26988,40660,26917,27133
26,26984,40660,26917,27070
27,26942,40660,26789,26365
28,26708,40591,26721,26365
29,26309,40591,26721,26237
30,26186,40591,26045,25963
31,26074,40591,26045,25845
32,25967,40591,26045,25779
33,25829,40591,25993,25573
34,25628,40591,25686,25070
35,25080,40591,25551,24941
36,25080,40591,25005,24833
37,25080,40071,25005,24833
38,25003,39998,24635,24523
39,24794,39998,24557,24329
40,24508,39998,24557,24005
41,24508,39998,24076,24005
42,24449,39998,24076,23962
43,24148,39998,23827,23832
44,24116,39998,23316,23529
45,23994,39998,23177,23523
46,23956,39998,23101,23310
47,23823,39998,23044,23100
48,23657,39998,22716,23068
49,23429,39998,22668,22655
50,23429,39998,22230,22655
51,23209,39998,22230,22655
52,23172,39998,22151,22538
53,23077,39998,21996,22538
54,22930,39056,21728,22405
55,22564,39056,21705,22279
56,22532,39056,21437,22140
57,22376,39056,21026,22006
58,22194,39056,21026,21847
59,21994,39056,20923,21781
60,21945,39056,20828,21515
61,21871,39056,20691,21457
62,21714,39056,20414,21380
63,21590,39056,20370,21258
64,21403,39056,20210,21089
65,21301,39056,20164,20999
66,21264,39056,20016,20842
67,21157,39056,19913,20842
68,21058,39056,19817,20695
69,20893,39056,19696,20659
70,20771,39056,19546,20645
71,20626,39056,19526,20592
72,20548,39056,19392,20499
73,20468,39056,19176,20382
74,20348,39056,19116,20254
75,20294,39056,19111,20158
76,20237,39056,18762,20091
77,20090,39056,18707,19976
78,20062,39056,18707,19861
79,19914,39056,18572,19861
80,19811,39056,18572,19787
81,19748,39056,18572,19723
82,19637,39056,18486,19710
83,19534,39056,18377,19548
84,19450,39056,18299,19401
85,19334,39056,18254,19353
86,19334,39056,18183,19311
87,19279,39056,18142,19219
88,19186,39056,18057,19154
89,19119,39056,17954,19088
90,19119,39056,17688,19062
91,19032,39056,17652,19060
92,18978,39056,17433,19024
93,18929,39056,17392,19006
94,18904,39056,17387,18950
95,18868,39056,17374,18950
96,18829,39056,17285,18925
97,18712,39056,17234,18910
98,18491,39056,17205,18894
99,18379,39056,17149,18869
100,18327,39056,17041,18793
