,BestImprovementSearch
0,42727
1,41975
2,40882
3,39076
4,38576
5,37838
6,36702
7,35869
8,34620
9,34441
10,33714
11,33537
12,32711
13,32333
14,32265
15,31991
16,31499
17,30998
18,30881
19,30057
20,30014
21,29810
22,29409
23,28811
24,28807
25,28551
26,28367
27,28181
28,28120
29,27858
30,27681
31,27386
32,27050
33,27028
34,26865
35,26590
36,26356
37,26356
38,26185
39,25903
40,25610
41,25421
42,25331
43,25147
44,25105
45,24823
46,24814
47,24720
48,24484
49,24402
50,24025
