,BestImprovementSearch
0,42727
1,40566
2,40291
3,39059
4,38250
5,37351
6,36833
7,36087
8,35482
9,35012
10,34621
11,33729
12,33565
13,32965
14,32231
15,32231
16,32060
17,31642
18,31400
19,31046
20,30815
21,30585
22,30377
23,30159
24,30041
25,29760
26,29503
27,29402
28,29114
29,28821
30,28596
31,28441
32,28116
33,28077
34,27827
35,27369
36,27242
37,27072
38,26937
39,26484
40,26484
41,26005
42,25949
43,25817
44,25617
45,25465
46,25343
47,25213
48,24907
49,24761
50,24468
