,BestImprovementSearch
0,42727
1,41373
2,40159
3,39150
4,38174
5,37762
6,36315
7,34997
8,34259
9,33106
10,33106
11,32558
12,32461
13,31913
14,31750
15,31611
16,31141
17,30957
18,30781
19,30347
20,30243
21,29632
22,29632
23,29346
24,29327
25,29026
26,27774
27,27774
28,27774
29,27495
30,27336
31,26862
32,26719
33,25870
34,25591
35,25444
36,25444
37,25344
38,25277
39,25145
40,24981
41,24926
42,24803
43,24618
44,24580
45,24179
46,24144
47,23924
48,23676
49,23676
50,23671
