,BestImprovementSearch
0,42546
1,40511
2,41489
3,40654
4,41280
5,41029
6,41332
7,41120
8,40846
9,38965
10,41104
11,40454
12,39755
13,41303
14,40574
15,39640
16,40857
17,41350
18,40593
19,41138
20,41121
21,40705
22,40618
23,41088
24,40687
25,41114
26,40880
27,41130
28,40811
29,41060
30,41031
31,41510
32,41608
33,40780
34,41112
35,39755
36,41711
37,41044
38,40318
39,40680
40,40617
41,41467
42,40719
43,40281
44,40792
45,41682
46,40548
47,40901
48,40935
49,41305
50,41545
