,BestImprovementSearch
0,42727
1,41535
2,40181
3,37673
4,37673
5,36475
6,35596
7,34958
8,34644
9,34140
10,32423
11,32423
12,32052
13,31395
14,30708
15,30189
16,29548
17,29049
18,28740
19,27782
20,27782
21,27714
22,27241
23,26818
24,26818
25,26619
26,26303
27,26289
28,26136
29,25988
30,25986
31,25775
32,25586
33,25183
34,25183
35,25102
36,24806
37,24500
38,24395
39,24306
40,24205
41,24106
42,24036
43,23914
44,23883
45,23784
46,23566
47,23566
48,23544
49,23301
50,23301
