,BestImprovementSearch
0,42727
1,41184
2,41045
3,39694
4,37667
5,35827
6,35327
7,34912
8,34572
9,34316
10,33909
11,33752
12,33369
13,32994
14,32767
15,32035
16,31911
17,30518
18,30518
19,30346
20,30185
21,29910
22,29672
23,29562
24,29266
25,28705
26,28634
27,28403
28,28253
29,27867
30,27845
31,27528
32,27505
33,27198
34,26995
35,26931
36,26871
37,26719
38,26601
39,26353
40,26202
41,26084
42,25989
43,25796
44,25636
45,25366
46,25271
47,25231
48,25026
49,24848
50,24615
