,BestImprovementSearch
0,42727
1,40355
2,39560
3,38504
4,37606
5,37369
6,36266
7,35345
8,34734
9,34091
10,33668
11,33621
12,32658
13,32658
14,32285
15,32105
16,31589
17,31213
18,31213
19,30946
20,30729
21,30611
22,30037
23,29266
24,29266
25,29240
26,29037
27,28716
28,28613
29,28030
30,27696
31,27696
32,27392
33,27371
34,27100
35,26746
36,26514
37,26502
38,26198
39,26025
40,26013
41,25881
42,25638
43,25583
44,25487
45,25193
46,25175
47,24990
48,24945
49,24749
50,24584
