,BestImprovementSearch
0,42727
1,41007
2,40067
3,39302
4,37764
5,37116
6,36691
7,36030
8,35807
9,35392
10,34732
11,34495
12,34007
13,33125
14,32907
15,32579
16,32081
17,31675
18,31108
19,30987
20,30765
21,30488
22,30105
23,29744
24,29588
25,29311
26,28940
27,28294
28,28202
29,28036
30,27808
31,27749
32,27652
33,27435
34,27308
35,27202
36,27066
37,26709
38,26576
39,26392
40,26369
41,25985
42,25932
43,25873
44,25842
45,25599
46,25551
47,25354
48,25105
49,25057
50,24640
