,BestImprovementSearch
0,42727
1,40942
2,40227
3,39457
4,37905
5,36307
6,36307
7,36073
8,34983
9,34547
10,34362
11,34055
12,33652
13,33456
14,32965
15,32675
16,32245
17,31907
18,31551
19,31106
20,31025
21,30328
22,30043
23,29905
24,29708
25,29498
26,29498
27,29249
28,29179
29,29122
30,29044
31,28678
32,28373
33,27883
34,27883
35,27645
36,27645
37,27582
38,27534
39,27330
40,26474
41,26345
42,26345
43,26265
44,26205
45,26205
46,26128
47,25992
48,25943
49,25829
50,25641
